id,category,venueName,region,startTime,endTime,days,dates,officialUrl,night,memo,accessNote
local-keiba-2026-05-17-佐賀,local-keiba,佐賀競馬場,佐賀県,15:50,21:15,,2026-05-17,https://www.sagakeiba.net/,true,地方競馬公式データから取り込み。代表レース: ３歳－４組,佐賀の公式発表もあわせて確認してください。
local-keiba-2026-05-17-盛岡,local-keiba,盛岡競馬場,岩手県,12:15,18:40,,2026-05-17,https://www.iwatekeiba.or.jp/,false,地方競馬公式データから取り込み。代表レース: ファーストステップ　２歳　新馬戦,盛岡の公式発表もあわせて確認してください。
local-keiba-2026-05-17-帯広ば,local-keiba,帯広ば競馬場,北海道,14:30,21:05,,2026-05-17,https://banei-keiba.or.jp/,true,地方競馬公式データから取り込み。代表レース: 実穂さんいつもありがとう杯Ｃ２－１６,帯広ばの公式発表もあわせて確認してください。
local-keiba-2026-05-18-佐賀,local-keiba,佐賀競馬場,佐賀県,15:25,21:20,,2026-05-18,https://www.sagakeiba.net/,true,地方競馬公式データから取り込み。代表レース: ３歳－７組,佐賀の公式発表もあわせて確認してください。
local-keiba-2026-05-18-盛岡,local-keiba,盛岡競馬場,岩手県,11:40,18:40,,2026-05-18,https://www.iwatekeiba.or.jp/,false,地方競馬公式データから取り込み。代表レース: Ｃ２,盛岡の公式発表もあわせて確認してください。
local-keiba-2026-05-18-帯広ば,local-keiba,帯広ば競馬場,北海道,14:25,21:10,,2026-05-18,https://banei-keiba.or.jp/,true,地方競馬公式データから取り込み。代表レース: さかだ裕子☆ばん馬大好き３Ｃ２－１４,帯広ばの公式発表もあわせて確認してください。
local-keiba-2026-05-18-大井,local-keiba,大井競馬場,東京都,14:30,21:25,,2026-05-18,https://www.tokyocitykeiba.com/,true,地方競馬公式データから取り込み。代表レース: ３歳１１ １２,大井の公式発表もあわせて確認してください。
local-keiba-2026-05-19-金沢,local-keiba,金沢競馬場,石川県,12:20,19:25,,2026-05-19,https://www.kanazawakeiba.com/,true,地方競馬公式データから取り込み。代表レース: ダーチー＆タナシー男の友情記念Ｃ２十四特別編成,金沢の公式発表もあわせて確認してください。
local-keiba-2026-05-19-盛岡,local-keiba,盛岡競馬場,岩手県,11:30,18:35,,2026-05-19,https://www.iwatekeiba.or.jp/,false,地方競馬公式データから取り込み。代表レース: ２歳,盛岡の公式発表もあわせて確認してください。
local-keiba-2026-05-19-大井,local-keiba,大井競馬場,東京都,14:30,21:25,,2026-05-19,https://www.tokyocitykeiba.com/,true,地方競馬公式データから取り込み。代表レース: Ｃ３四 五 六,大井の公式発表もあわせて確認してください。
local-keiba-2026-05-19-名古屋,local-keiba,名古屋競馬場,愛知県,14:00,21:15,,2026-05-19,https://www.nagoyakeiba.com/,true,地方競馬公式データから取り込み。代表レース: ３歳１２組,名古屋の公式発表もあわせて確認してください。
local-keiba-2026-05-20-園田,local-keiba,園田競馬場,兵庫県,10:40,17:05,,2026-05-20,https://www.sonoda-himeji.jp/,false,地方競馬公式データから取り込み。代表レース: Ｃ３三４歳以上,園田の公式発表もあわせて確認してください。
local-keiba-2026-05-20-大井,local-keiba,大井競馬場,東京都,14:30,21:25,,2026-05-20,https://www.tokyocitykeiba.com/,true,地方競馬公式データから取り込み。代表レース: Ｃ３一 二 三,大井の公式発表もあわせて確認してください。
local-keiba-2026-05-20-名古屋,local-keiba,名古屋競馬場,愛知県,12:25,19:10,,2026-05-20,https://www.nagoyakeiba.com/,true,地方競馬公式データから取り込み。代表レース: Ｃ１９組,名古屋の公式発表もあわせて確認してください。
local-keiba-2026-05-20-門別,local-keiba,門別競馬場,北海道,14:15,21:10,,2026-05-20,https://www.hokkaidokeiba.net/,true,地方競馬公式データから取り込み。代表レース: ３歳条件　未勝利,門別の公式発表もあわせて確認してください。
local-keiba-2026-05-21-園田,local-keiba,園田競馬場,兵庫県,10:40,17:05,,2026-05-21,https://www.sonoda-himeji.jp/,false,地方競馬公式データから取り込み。代表レース: Ｃ３三４歳以上,園田の公式発表もあわせて確認してください。
local-keiba-2026-05-21-大井,local-keiba,大井競馬場,東京都,14:30,21:25,,2026-05-21,https://www.tokyocitykeiba.com/,true,地方競馬公式データから取り込み。代表レース: ３歳六 七 八,大井の公式発表もあわせて確認してください。
local-keiba-2026-05-21-名古屋,local-keiba,名古屋競馬場,愛知県,12:25,19:05,,2026-05-21,https://www.nagoyakeiba.com/,true,地方競馬公式データから取り込み。代表レース: Ｃ１４組,名古屋の公式発表もあわせて確認してください。
local-keiba-2026-05-21-門別,local-keiba,門別競馬場,北海道,14:15,21:10,,2026-05-21,https://www.hokkaidokeiba.net/,true,地方競馬公式データから取り込み。代表レース: ３歳条件　未勝利,門別の公式発表もあわせて確認してください。
local-keiba-2026-05-22-園田,local-keiba,園田競馬場,兵庫県,14:20,21:05,,2026-05-22,https://www.sonoda-himeji.jp/,true,地方競馬公式データから取り込み。代表レース: Ｃ３二４歳以上,園田の公式発表もあわせて確認してください。
local-keiba-2026-05-22-大井,local-keiba,大井競馬場,東京都,14:30,21:25,,2026-05-22,https://www.tokyocitykeiba.com/,true,地方競馬公式データから取り込み。代表レース: ３歳四 五,大井の公式発表もあわせて確認してください。
local-keiba-2026-05-22-名古屋,local-keiba,名古屋競馬場,愛知県,12:20,19:10,,2026-05-22,https://www.nagoyakeiba.com/,true,地方競馬公式データから取り込み。代表レース: ３歳９組,名古屋の公式発表もあわせて確認してください。
local-keiba-2026-05-23-高知,local-keiba,高知競馬場,高知県,15:35,21:25,,2026-05-23,https://www.keiba.or.jp/,true,地方競馬公式データから取り込み。代表レース: ３歳－３,高知の公式発表もあわせて確認してください。
local-keiba-2026-05-23-佐賀,local-keiba,佐賀競馬場,佐賀県,15:55,21:15,,2026-05-23,https://www.sagakeiba.net/,true,地方競馬公式データから取り込み。代表レース: 九州産スーパーホープフルデビュー　２歳新馬,佐賀の公式発表もあわせて確認してください。
local-keiba-2026-05-23-帯広ば,local-keiba,帯広ば競馬場,北海道,14:40,21:05,,2026-05-23,https://banei-keiba.or.jp/,true,地方競馬公式データから取り込み。代表レース: 第６４回　定期大会記念Ｃ１－７,帯広ばの公式発表もあわせて確認してください。
local-keiba-2026-05-24-高知,local-keiba,高知競馬場,高知県,15:30,21:25,,2026-05-24,https://www.keiba.or.jp/,true,地方競馬公式データから取り込み。代表レース: ３歳－６,高知の公式発表もあわせて確認してください。
local-keiba-2026-05-24-佐賀,local-keiba,佐賀競馬場,佐賀県,14:40,21:15,,2026-05-24,https://www.sagakeiba.net/,true,地方競馬公式データから取り込み。代表レース: スーパーホープフルデビュー　２歳新馬,佐賀の公式発表もあわせて確認してください。
