競馬場,競走年月日,レース番号,発走時刻,競走種類名称,レース名,副賞名1,副賞名2,副賞名3,副賞名4,副賞名5,副賞名6,副賞名7,副賞名8,副賞名9,副賞名10,副賞名11,副賞名12,副賞名13,副賞名14,副賞名15,芝ダート区分,回り,距離,天候,馬場,頭数,条件,1着賞金(円),2着賞金(円),3着賞金(円),4着賞金(円),5着賞金(円),上がり4F,上がり3F,ハロンタイム1,ハロンタイム2,ハロンタイム3,ハロンタイム4,ハロンタイム5,ハロンタイム6,ハロンタイム7,ハロンタイム8,ハロンタイム9,ハロンタイム10,ハロンタイム11,ハロンタイム12,ハロンタイム13,ハロンタイム14,ハロンタイム15,コーナー名称1,コーナー名称2,コーナー名称3,コーナー名称4,コーナー名称5,コーナー名称6,コーナー名称7,コーナー名称8,コーナー通過順1,コーナー通過順2,コーナー通過順3,コーナー通過順4,コーナー通過順5,コーナー通過順6,コーナー通過順7,コーナー通過順8
帯広ば,20260502,1,1440,普通,ひろちゃんばんえい参上記念Ｃ２－１６,,,,,,,,,,,,,,,,,直,200,晴,3.0,9,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260502,2,1510,普通,ひまわり温泉　ボイラー復活Ｃ２－１４,,,,,,,,,,,,,,,,,直,200,晴,3.0,9,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260502,3,1540,普通,青森中泊愛馬会馬力大会Ｃ２－１,,,,,,,,,,,,,,,,,直,200,晴,2.9,10,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260502,4,1615,普通,Ｓさんお誕生日記念Ｃ１－７,,,,,,,,,,,,,,,,,直,200,晴,2.9,8,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260502,5,1650,普通,森町桜まつりばんば競技大会Ｃ１－５,,,,,,,,,,,,,,,,,直,200,晴,2.9,8,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260502,6,1725,普通,２歳の海宇君☆毎日激走記念Ｂ４－９,,,,,,,,,,,,,,,,,直,200,晴,2.9,9,"混合　３歳以上 規定",330000,122000,69000,36000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260502,7,1755,普通,佐藤璃果さん卒業記念Ｂ３－６,,,,,,,,,,,,,,,,,直,200,晴,2.8,9,"混合　３歳以上 規定",340000,125000,71000,37000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260502,8,1825,普通,乃空も一緒に走ってこーいＢ３－５,,,,,,,,,,,,,,,,,直,200,晴,2.8,9,"混合　３歳以上 規定",340000,125000,71000,37000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260502,9,1855,普通,荒井所長　やっと来たよーＢ３－３,,,,,,,,,,,,,,,,,直,200,晴,2.7,10,"混合　３歳以上 規定",340000,125000,71000,37000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260502,10,1925,普通,さやちゃんいつもありがとうＢ２－２,,,,,,,,,,,,,,,,,直,200,晴,2.7,8,"混合　３歳以上 規定",420000,155000,88000,46000,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260502,11,2000,特別,春雨特別オープン・Ａ１混合,,,,,,,,,,,,,,,,,直,200,晴,2.6,8,"混合　３歳以上 規定",970000,368000,213000,116000,77000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260502,12,2030,普通,Ｂ４－１・２決勝,,,,,,,,,,,,,,,,,直,200,晴,2.6,10,"混合　３歳以上 規定",330000,122000,69000,36000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260503,1,1430,普通,みずちゃんハピバ杯Ｃ２－１０,,,,,,,,,,,,,,,,,直,200,曇,2.4,9,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260503,2,1505,普通,ＪＪエコーで手振ってて元気Ｃ２－２,,,,,,,,,,,,,,,,,直,200,曇,2.4,10,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260503,3,1545,普通,えいと＆あおか　きたよＣ１－６,,,,,,,,,,,,,,,,,直,200,曇,2.3,8,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260503,4,1615,普通,ＪＲ北海道ホテルズ杯Ｃ１－３・４決勝,,,,,,,,,,,,,,,,,直,200,曇,2.3,10,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260503,5,1650,普通,しっしー彩奈さん結婚祝杯Ｂ４－１０,,,,,,,,,,,,,,,,,直,200,曇,2.2,8,"混合　３歳以上 規定",330000,122000,69000,36000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260503,6,1720,普通,コス痛紋別記念Ｂ４－８,,,,,,,,,,,,,,,,,直,200,曇,2.2,8,"混合　３歳以上 規定",330000,122000,69000,36000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260503,7,1750,普通,コメ組協同組合記念Ｂ４－２,,,,,,,,,,,,,,,,,直,200,曇,2.2,9,"混合　３歳以上 規定",330000,122000,69000,36000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260503,8,1820,普通,辻順一の夢　まだまだ続く杯Ｂ３－４,,,,,,,,,,,,,,,,,直,200,曇,2.2,10,"混合　３歳以上 規定",340000,125000,71000,37000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260503,9,1855,普通,りこ！当てたら付き合って！Ｂ３－２,,,,,,,,,,,,,,,,,直,200,曇,2.1,10,"混合　３歳以上 規定",340000,125000,71000,37000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260503,10,1930,普通,カリスマ調教師二千勝達成！Ｂ２－１,,,,,,,,,,,,,,,,,直,200,曇,2.1,8,"混合　３歳以上 規定",420000,155000,88000,46000,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260503,11,2000,特別,スーパージョッキー賞３歳以上選抜別定,,,,,,,,,,,,,,,,,直,200,曇,2.1,10,"混合　３歳以上 別定",880000,334000,193000,105000,70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260503,12,2030,普通,Ｂ２－３,,,,,,,,,,,,,,,,,直,200,曇,2.1,8,"混合　３歳以上 規定",420000,155000,88000,46000,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260504,1,1420,普通,飛花琳＆崇獅　初誕生記念Ｃ２－１５,,,,,,,,,,,,,,,,,直,200,小雨,2.8,8,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260504,2,1450,普通,２歳新馬,,,,,,,,,,,,,,,,,直,200,小雨,2.8,10,"混合　２歳 規定",710000,262000,149000,78000,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260504,3,1525,普通,藤本匠調教師　祝初勝利！Ｃ２－１３,,,,,,,,,,,,,,,,,直,200,曇,2.8,10,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260504,4,1600,普通,紫苑、誕生日おめでとう記念Ｃ２－８,,,,,,,,,,,,,,,,,直,200,曇,2.8,9,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260504,5,1635,普通,第４５回落合大輔誕生日記念Ｃ１－８,,,,,,,,,,,,,,,,,直,200,小雨,2.8,7,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260504,6,1710,普通,ぶいすぽ如月れん生誕記念杯Ｃ１－１・２決勝,,,,,,,,,,,,,,,,,直,200,小雨,2.8,10,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260504,7,1745,普通,マリちゃん誕生日記念Ｂ４－１１,,,,,,,,,,,,,,,,,直,200,曇,2.7,9,"混合　３歳以上 規定",330000,122000,69000,36000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260504,8,1820,普通,戸井田利雄誕生日記念杯Ｂ４－１,,,,,,,,,,,,,,,,,直,200,曇,2.7,7,"混合　３歳以上 規定",330000,122000,69000,36000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260504,9,1850,普通,山田睦美記念Ｂ３－７混合,,,,,,,,,,,,,,,,,直,200,曇,2.7,9,"混合　３歳以上 規定",340000,125000,71000,37000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260504,10,1925,普通,将太とあゆみの結婚記念。Ｂ３－１,,,,,,,,,,,,,,,,,直,200,曇,2.7,9,"混合　３歳以上 規定",340000,125000,71000,37000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260504,11,2000,特別,菖蒲特別Ａ２－１混合,,,,,,,,,,,,,,,,,直,200,曇,2.7,10,"混合　３歳以上 規定",650000,247000,143000,78000,52000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260504,12,2030,普通,Ｂ４－３,,,,,,,,,,,,,,,,,直,200,曇,2.7,9,"混合　３歳以上 規定",330000,122000,69000,36000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260509,1,1440,普通,ポン様ご結婚おめでとう記念Ｃ１－５,,,,,,,,,,,,,,,,,直,200,晴,2.6,10,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260509,2,1510,普通,敦美ちゃん還暦お祝い記念Ｃ２－１５,,,,,,,,,,,,,,,,,直,200,晴,2.6,9,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260509,3,1540,普通,奇跡の４５！横山くん誕生祭Ｃ２－１０,,,,,,,,,,,,,,,,,直,200,曇,2.5,10,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260509,4,1615,普通,令和８年たかよさん米寿記念Ｃ２－７,,,,,,,,,,,,,,,,,直,200,曇,2.5,10,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260509,5,1650,普通,プリンセス葵乃・来場記念Ｃ１－１,,,,,,,,,,,,,,,,,直,200,曇,2.5,10,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260509,6,1725,普通,祝！安真之介　２４歳Ｂ４－５,,,,,,,,,,,,,,,,,直,200,曇,2.5,9,"混合　３歳以上 規定",330000,122000,69000,36000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260509,7,1755,普通,向井純葉２０歳の誕生日記念Ｂ４－４,,,,,,,,,,,,,,,,,直,200,曇,2.4,9,"混合　３歳以上 規定",330000,122000,69000,36000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260509,8,1825,普通,やすしん君　もういっちょ杯Ｂ４－２,,,,,,,,,,,,,,,,,直,200,曇,2.4,10,"混合　３歳以上 規定",330000,122000,69000,36000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260509,9,1855,普通,スナックＴＩＡＲＡ１０周年Ｂ３－５,,,,,,,,,,,,,,,,,直,200,曇,2.4,9,"混合　３歳以上 規定",340000,125000,71000,37000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260509,10,1925,普通,東京からきたよ関英明杯８４Ｂ２－１,,,,,,,,,,,,,,,,,直,200,曇,2.4,10,"混合　３歳以上 規定",420000,155000,88000,46000,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260509,11,2000,特別,とかち皐月賞３歳オープン別定,,,,,,,,,,,,,,,,,直,200,曇,2.3,10,"混合　３歳 別定",880000,334000,193000,105000,70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260509,12,2030,普通,Ｂ１－１,,,,,,,,,,,,,,,,,直,200,曇,2.3,10,"混合　３歳以上 規定",430000,159000,90000,47000,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260510,1,1435,普通,良樹４９才絶好調！誕生日杯Ｃ１－４,,,,,,,,,,,,,,,,,直,200,晴,1.9,10,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260510,2,1510,普通,春花＆崇充ご結婚記念Ｃ２－１１,,,,,,,,,,,,,,,,,直,200,晴,1.9,10,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260510,3,1545,普通,コスノ宴Ｃ２－８,,,,,,,,,,,,,,,,,直,200,晴,1.9,9,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260510,4,1615,普通,ブレイクスルー伊藤純平生誕Ｃ２－５,,,,,,,,,,,,,,,,,直,200,晴,1.9,10,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260510,5,1645,普通,第２回　西井賞Ｃ１－２,,,,,,,,,,,,,,,,,直,200,晴,1.9,10,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260510,6,1715,普通,祝てるぞう５６５８お誕生日Ｂ４－６,,,,,,,,,,,,,,,,,直,200,晴,1.9,9,"混合　３歳以上 規定",330000,122000,69000,36000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260510,7,1750,普通,第５７回　かずひろ記念Ｂ４－３,,,,,,,,,,,,,,,,,直,200,晴,1.8,10,"混合　３歳以上 規定",330000,122000,69000,36000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260510,8,1820,普通,明＆鷲見ファミリー旅行記念Ａ１－２,,,,,,,,,,,,,,,,,直,200,晴,1.8,8,"混合　３歳以上 規定",600000,222000,126000,66000,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260510,9,1855,普通,～美浦村から～初観戦記念Ｂ３－７,,,,,,,,,,,,,,,,,直,200,晴,1.7,9,"混合　３歳以上 規定",340000,125000,71000,37000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260510,10,1925,普通,一条莉々華生誕記念限界飯杯Ｂ２－４,,,,,,,,,,,,,,,,,直,200,晴,1.7,7,"混合　３歳以上 規定",420000,155000,88000,46000,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260510,11,2000,重賞,"第１９回 カーネーションカップ３歳以上牝馬オープン別定",,,,,,,,,,,,,,,,,直,200,晴,1.7,10,"混合　３歳以上 別定",2500000,950000,550000,300000,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260510,12,2045,普通,Ｂ３－１,,,,,,,,,,,,,,,,,直,200,晴,1.7,10,"混合　３歳以上 規定",340000,125000,71000,37000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260511,1,1435,普通,第１０回弁護士大平雄介記念Ｃ１－７,,,,,,,,,,,,,,,,,直,200,晴,1.5,8,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260511,2,1510,普通,辻川桜さん生誕記念Ｃ２－１７,,,,,,,,,,,,,,,,,直,200,晴,1.5,8,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260511,3,1545,普通,キリエ生誕祭Ｃ２－１２,,,,,,,,,,,,,,,,,直,200,晴,1.4,10,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260511,4,1615,普通,ＸＩＡＯ　ＭＩ　Ｍ　記念杯Ｃ２－２,,,,,,,,,,,,,,,,,直,200,晴,1.4,10,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260511,5,1650,普通,稲垣成弥３６歳生誕記念杯Ｃ１－３,,,,,,,,,,,,,,,,,直,200,晴,1.4,10,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260511,6,1720,普通,チアキング生誕ＪＰＹ杯１６Ｂ４－７,,,,,,,,,,,,,,,,,直,200,晴,1.4,9,"混合　３歳以上 規定",330000,122000,69000,36000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260511,7,1750,普通,第６回まいたけカップＢ４－１,,,,,,,,,,,,,,,,,直,200,晴,1.3,9,"混合　３歳以上 規定",330000,122000,69000,36000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260511,8,1825,普通,かんなちゃん生誕祭２０２６Ｂ３－４,,,,,,,,,,,,,,,,,直,200,晴,1.3,10,"混合　３歳以上 規定",340000,125000,71000,37000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260511,9,1855,普通,メゴドルくらり生誕ウィークＢ３－２,,,,,,,,,,,,,,,,,直,200,晴,1.3,10,"混合　３歳以上 規定",340000,125000,71000,37000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260511,10,1930,普通,アオサギ賞Ｂ２－２,,,,,,,,,,,,,,,,,直,200,晴,1.3,9,"混合　３歳以上 規定",420000,155000,88000,46000,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260511,11,2000,特別,さつき特別オープン,,,,,,,,,,,,,,,,,直,200,晴,1.3,8,"混合　３歳以上 規定",970000,368000,213000,116000,77000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260511,12,2040,普通,シマリス賞Ａ２－２混合,,,,,,,,,,,,,,,,,直,200,晴,1.3,8,"混合　３歳以上 規定",500000,185000,105000,55000,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260516,1,1430,普通,１億５千突破！　表屋記念杯Ｃ２－１３,,,,,,,,,,,,,,,,,直,200,晴,0.8,9,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260516,2,1505,普通,２歳新馬,,,,,,,,,,,,,,,,,直,200,晴,0.8,9,"混合　２歳 規定",710000,262000,149000,78000,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260516,3,1540,普通,２歳新馬,,,,,,,,,,,,,,,,,直,200,晴,0.7,9,"混合　２歳 規定",710000,262000,149000,78000,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260516,4,1615,普通,おもてやくん今期もやるぞ杯Ｃ２－６,,,,,,,,,,,,,,,,,直,200,晴,0.7,9,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260516,5,1650,普通,Ｃ２－４,,,,,,,,,,,,,,,,,直,200,晴,0.7,9,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260516,6,1725,普通,Ｃ１－３・４決勝,,,,,,,,,,,,,,,,,直,200,晴,0.7,10,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260516,7,1755,普通,東山誕生記念Ｂ４－８,,,,,,,,,,,,,,,,,直,200,晴,0.7,9,"混合　３歳以上 規定",330000,122000,69000,36000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260516,8,1825,普通,天翔る天馬生誕記念Ｂ４－３,,,,,,,,,,,,,,,,,直,200,晴,0.7,9,"混合　３歳以上 規定",330000,122000,69000,36000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260516,9,1855,普通,しみじみしじみ杯Ｂ３－３,,,,,,,,,,,,,,,,,直,200,晴,0.7,10,"混合　３歳以上 規定",340000,125000,71000,37000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260516,10,1925,普通,函館けいりんコラボ開催中Ｂ２－１・２決勝,,,,,,,,,,,,,,,,,直,200,晴,0.7,9,"混合　３歳以上 規定",420000,155000,88000,46000,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260516,11,2000,特別,つつじ特別Ａ２－１,,,,,,,,,,,,,,,,,直,200,晴,0.7,10,"混合　３歳以上 規定",650000,247000,143000,78000,52000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260516,12,2030,普通,Ｂ４－１,,,,,,,,,,,,,,,,,直,200,晴,0.7,9,"混合　３歳以上 規定",330000,122000,69000,36000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260517,1,1430,普通,実穂さんいつもありがとう杯Ｃ２－１６,,,,,,,,,,,,,,,,,直,200,曇,0.7,9,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260517,2,1505,普通,２歳新馬,,,,,,,,,,,,,,,,,直,200,曇,0.7,9,"混合　２歳 規定",710000,262000,149000,78000,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260517,3,1535,普通,２歳新馬,,,,,,,,,,,,,,,,,直,200,曇,0.7,9,"混合　２歳 規定",710000,262000,149000,78000,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260517,4,1615,普通,えのき家今年も来場記念２６Ｃ２－９,,,,,,,,,,,,,,,,,直,200,曇,0.7,10,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260517,5,1645,普通,友里、石橋をたたいて渡れＣ２－１,,,,,,,,,,,,,,,,,直,200,曇,0.7,10,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260517,6,1715,普通,Ｃ１－６,,,,,,,,,,,,,,,,,直,200,曇,0.7,10,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260517,7,1750,普通,父有弘爆誕祭Ｂ４－１０,,,,,,,,,,,,,,,,,直,200,曇,0.7,9,"混合　３歳以上 規定",330000,122000,69000,36000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260517,8,1820,普通,純奈ＡＴＭ往復記念Ｂ４－４,,,,,,,,,,,,,,,,,直,200,曇,0.7,10,"混合　３歳以上 規定",330000,122000,69000,36000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260517,9,1850,普通,たこ焼き大好きケンケン杯Ｂ３－６,,,,,,,,,,,,,,,,,直,200,曇,0.7,9,"混合　３歳以上 規定",340000,125000,71000,37000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260517,10,1925,普通,函館競輪開設７６周年記念Ｂ３－１・２決勝,,,,,,,,,,,,,,,,,直,200,曇,0.7,8,"混合　３歳以上 規定",340000,125000,71000,37000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260517,11,2000,特別,スーパートレーナー賞３歳以上選抜別定,,,,,,,,,,,,,,,,,直,200,曇,0.7,10,"混合　３歳以上 別定",880000,334000,193000,105000,70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260517,12,2030,普通,Ｂ１－２,,,,,,,,,,,,,,,,,直,200,曇,0.7,9,"混合　３歳以上 規定",430000,159000,90000,47000,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260518,1,1425,普通,さかだ裕子☆ばん馬大好き３Ｃ２－１４,,,,,,,,,,,,,,,,,直,200,曇,0.7,10,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260518,2,1455,普通,２歳新馬,,,,,,,,,,,,,,,,,直,200,曇,0.7,9,"混合　２歳 規定",710000,262000,149000,78000,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260518,3,1530,普通,２歳新馬,,,,,,,,,,,,,,,,,直,200,晴,0.6,9,"混合　２歳 規定",710000,262000,149000,78000,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260518,4,1610,普通,２歳新馬,,,,,,,,,,,,,,,,,直,200,晴,0.6,10,"混合　２歳 規定",710000,262000,149000,78000,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260518,5,1645,普通,柚原娘々２周年おめでとう賞２歳受賞・未受賞,,,,,,,,,,,,,,,,,直,200,晴,0.6,10,"混合　２歳 規定",510000,188000,107000,56000,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260518,6,1725,普通,梅澤美波さん卒業記念Ｃ２－３,,,,,,,,,,,,,,,,,直,200,晴,0.6,9,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260518,7,1800,普通,橋政全国競馬場制覇記念Ｃ１－１・２決勝,,,,,,,,,,,,,,,,,直,200,晴,0.6,10,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260518,8,1835,普通,祝！ぎぼちゃん支配下記念Ｂ４－９,,,,,,,,,,,,,,,,,直,200,晴,0.6,8,"混合　３歳以上 規定",330000,122000,69000,36000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260518,9,1905,普通,さくスタートダッシュ記念Ｂ４－２,,,,,,,,,,,,,,,,,直,200,晴,0.6,8,"混合　３歳以上 規定",330000,122000,69000,36000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
