競馬場,競走年月日,レース番号,発走時刻,競走種類名称,レース名,副賞名1,副賞名2,副賞名3,副賞名4,副賞名5,副賞名6,副賞名7,副賞名8,副賞名9,副賞名10,副賞名11,副賞名12,副賞名13,副賞名14,副賞名15,芝ダート区分,回り,距離,天候,馬場,頭数,条件,1着賞金(円),2着賞金(円),3着賞金(円),4着賞金(円),5着賞金(円),上がり4F,上がり3F,ハロンタイム1,ハロンタイム2,ハロンタイム3,ハロンタイム4,ハロンタイム5,ハロンタイム6,ハロンタイム7,ハロンタイム8,ハロンタイム9,ハロンタイム10,ハロンタイム11,ハロンタイム12,ハロンタイム13,ハロンタイム14,ハロンタイム15,コーナー名称1,コーナー名称2,コーナー名称3,コーナー名称4,コーナー名称5,コーナー名称6,コーナー名称7,コーナー名称8,コーナー通過順1,コーナー通過順2,コーナー通過順3,コーナー通過順4,コーナー通過順5,コーナー通過順6,コーナー通過順7,コーナー通過順8
船橋,20260508,6,1720,普通,"Ｃ２五 六",,,,,,,,,,,,,,,,ダート,左,1500,曇,良,12,サラブレッド系　一般,1000000,400000,250000,150000,100000,53.7,40.9,7.0,12.3,12.3,12.8,12.8,12.9,13.6,14.4,,,,,,,,１角,２角,３角,４角,,,,,"5,(7,11),1-12,2,(4,10),(8,9),6","5,(7,11),1=12-4-(2,10),(8,9,6)","5,7,(1,11)=12,(4,6),10-8,9,2","5-(1,7)-11,12,4-(10,6)-(8,9)-2",,,,
船橋,20260508,7,1755,普通,"馬い！山武たがやす倶楽部記念Ｃ２五 六",,,,,,,,,,,,,,,,ダート,左,1200,曇,良,12,サラブレッド系　一般,1000000,400000,250000,150000,100000,51.0,38.6,12.8,12.2,12.4,12.4,13.0,13.2,,,,,,,,,,２角,３角,４角,,,,,,"5,10,(2,7,8),9,(1,4),6,(11,12)-3","5,10,8,2,7,(1,4,9),11,6-3-12","(5,10),8,(2,7),(4,9),1,(6,11)-3=12",,,,,
船橋,20260508,8,1830,特別,琥珀ダッシュＣ１選抜馬,,,,,,,,,,,,,,,,ダート,左,1000,曇,良,14,サラブレッド系　一般,1800000,720000,450000,270000,180000,49.3,38.3,12.2,11.0,11.8,12.8,13.7,,,,,,,,,,,３角,４角,,,,,,,"7,4,10-(1,3,12),13,(2,5,9,14),6,(8,11)","(7,4)-10,(1,3,12)-13,(2,9,14,5)-(8,6),11",,,,,,
船橋,20260508,9,1905,特別,ベルフラワースプリントＢ１Ｂ２選抜馬,,,,,,,,,,,,,,,,ダート,左,1200,曇,良,12,サラブレッド系　一般,3300000,1320000,825000,495000,330000,51.8,40.1,12.0,10.8,11.7,12.2,13.3,14.6,,,,,,,,,,２角,３角,４角,,,,,,"(6,9,10,11)-(1,12),(4,8),(2,5),7-3","11-(6,10),(4,9,12),8,(5,7),1,2-3","11-(6,10,12),4,(5,8),7,(9,2),1,3",,,,,
船橋,20260508,10,1940,特別,五香特別Ｃ１一,,,,,,,,,,,,,,,,ダート,左,1600,曇,良,14,サラブレッド系　一般,1800000,720000,450000,270000,180000,52.3,39.7,12.6,13.2,13.6,13.3,12.6,12.3,13.6,13.8,,,,,,,,１角,２角,３角,４角,,,,,"(13,6,9)-(12,14),8,(2,5),3,7-4,1","(13,6),9,(12,14),(2,8),5,(3,7)-4-1","(13,6,9),(2,8),(12,14)-(5,7),3,4,1","(13,6),9,(2,8),12,14,7,5-(3,4),1",,,,
船橋,20260508,11,2015,特別,皐月盃４上オープン,,,,,,,,,,,,,,,,ダート,左,2200,曇,良,14,"サラブレッド系　４歳以上 別定",6000000,2400000,1500000,900000,600000,51.7,39.1,13.0,12.6,14.0,13.5,13.7,13.3,13.1,12.6,12.5,12.9,13.7,,,,,３角,４角,１角,２角,２周目３角,２周目４角,,,"14,(7,12),5,(8,11),2,9,(1,6,10),(4,13)-3","14-12,7,(5,11)-8,2,9,10,(1,6),(4,13)-3","(14,12),5,11-7,8,10,(2,9),13,(1,6),4-3","(14,12),5,11,7,8,(2,10),9,(1,6,13),4-3","14,5,(12,4),7,(8,11,13),2,(10,6),(1,9)-3","(14,5),4-7,13,(2,6),12,9,(1,11,10),8-3",,
船橋,20260508,12,2050,特別,２０時５０分にビッグチャンスＢ１二,,,,,,,,,,,,,,,,ダート,左,1700,曇,良,14,サラブレッド系　一般,3300000,1320000,825000,495000,330000,50.5,37.8,6.9,11.9,13.0,13.4,13.3,12.7,12.1,12.6,13.1,,,,,,,１角,２角,３角,４角,,,,,"(5,11),12,(1,7,13)-14-9,(2,10),3-4-8","(5,11),(1,7,12),13-14,9,(2,10),3-4,8","(5,11),12,(1,7,13,8),(14,10),(2,9,4),3","(5,11)-(7,8),(1,13,10),12,14,(9,4),(2,3)",,,,
大井,20260501,1,1430,普通,"３歳四 五",,,,,,,,,,,,,,,,ダート,右,1600,雨,不良,10,"サラブレッド系　３歳 別定",1800000,720000,450000,270000,180000,51.5,39.0,12.6,12.2,13.3,12.8,12.5,12.9,12.8,13.3,,,,,,,,１角,２角,３角,４角,,,,,"(10,5),9-3,(1,6,8),4-(2,7)","10,5,9-3,(6,8),(1,4)-7,2","(10,5),9,(3,6)-(1,4)-8,(2,7)","(10,5),9,(3,6)-(1,4)-(2,8),7",,,,
大井,20260501,2,1502,普通,"３歳四 五",,,,,,,,,,,,,,,,ダート,右,1200,曇,不良,13,"サラブレッド系　３歳 別定",1800000,720000,450000,270000,180000,50.7,38.7,12.4,11.1,12.0,12.9,12.5,13.3,,,,,,,,,,３角,４角,,,,,,,"(1,2),3,11,7,4,13,6,(9,10),(12,8),5","(1,2),3,(7,11),4,9,(6,13),12,(5,10,8)",,,,,,
大井,20260501,3,1535,普通,"３歳一 二 三",,,,,,,,,,,,,,,,ダート,右,1600,晴,不良,10,"サラブレッド系　３歳 別定",1800000,720000,450000,270000,180000,52.1,39.6,12.4,11.7,13.3,13.0,12.5,13.0,13.3,13.3,,,,,,,,１角,２角,３角,４角,,,,,"5,(9,10),(1,4,7)-2,(3,6)","5,9,(1,10),(4,7),2,(3,6)","5,(9,10),(4,1,7)-2,(3,6)","5,(9,10)-4,7,1,(2,3),6",,,,
大井,20260501,4,1613,普通,"３歳一 二 三",,,,,,,,,,,,,,,,ダート,右,1200,晴,不良,8,"サラブレッド系　３歳 別定",1800000,720000,450000,270000,180000,48.5,36.6,12.3,11.3,11.9,12.6,11.6,12.4,,,,,,,,,,３角,４角,,,,,,,"(1,5),8,(2,6,7)-3-4","(1,5),8,6,2,(3,7)-4",,,,,,
大井,20260501,5,1644,普通,２歳新馬,,,,,,,,,,,,,,,,ダート,右,1000,晴,不良,5,"サラブレッド系　２歳 別定",4800000,1920000,1200000,720000,480000,47.9,36.5,12.5,11.4,12.5,11.6,12.4,,,,,,,,,,,３角,４角,,,,,,,"(3,4),(2,5)=1","(3,4),5,2=1",,,,,,
大井,20260501,6,1716,普通,"Ｃ２二 三 四",,,,,,,,,,,,,,,,ダート,右,1600,晴,不良,12,"サラブレッド系　一般 別定",1700000,680000,425000,255000,170000,52.9,40.4,12.5,11.8,12.9,12.6,12.5,13.0,13.3,14.1,,,,,,,,１角,２角,３角,４角,,,,,"(3,10,11)-4,8,12,(1,6,7)-9-(5,2)","(3,10,11)-4,(8,7),(1,6,12),9-2-5","(3,10,11),(8,7),4,(1,6,12),2,9,5","(3,10,11),(8,7),4,(1,6,12),2,9,5",,,,
大井,20260501,7,1748,普通,"Ｃ２二 三 四",,,,,,,,,,,,,,,,ダート,右,1400,晴,不良,7,"サラブレッド系　一般 別定",1700000,680000,425000,255000,170000,50.9,38.7,13.2,11.5,11.8,12.2,13.1,12.6,13.0,,,,,,,,,２角,３角,４角,,,,,,"(1,2,6),4,(3,7)-5","(1,6),2,7,4,3-5","(1,6),7-4,(2,3)-5",,,,,
大井,20260501,8,1820,普通,"ジン・バック賞Ｃ２二 三 四",,,,,,,,,,,,,,,,ダート,右,1200,晴,不良,10,"サラブレッド系　一般 別定",1700000,680000,425000,255000,170000,49.5,37.6,12.7,11.6,11.9,12.6,11.8,13.2,,,,,,,,,,３角,４角,,,,,,,"(2,3,6),7,(1,4),5,(9,8,10)","(2,3,6),7,(1,4)-(9,5),(8,10)",,,,,,
