id,category,venueName,region,startTime,endTime,days,dates,officialUrl,night,memo,accessNote
keirin-2026-05-04-74,keirin,高知競輪場,高知県,15:00,21:00,,2026-05-04,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,高知競輪場の公式発表もあわせて確認してください。
keirin-2026-05-04-47,keirin,松阪競輪場,三重県,10:30,16:30,,2026-05-04,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F1 / 通常開催想定,松阪競輪場の公式発表もあわせて確認してください。
keirin-2026-05-04-12,keirin,青森競輪場,青森県,10:30,16:30,,2026-05-04,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,青森競輪場の公式発表もあわせて確認してください。
keirin-2026-05-04-35,keirin,平塚競輪場,神奈川県,10:30,16:30,,2026-05-04,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。G1 / 通常開催想定,平塚競輪場の公式発表もあわせて確認してください。
keirin-2026-05-04-21,keirin,弥彦競輪場,新潟県,15:00,21:00,,2026-05-04,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,弥彦競輪場の公式発表もあわせて確認してください。
keirin-2026-05-05-56,keirin,岸和田競輪場,大阪府,10:30,16:30,,2026-05-05,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F1 / 通常開催想定,岸和田競輪場の公式発表もあわせて確認してください。
keirin-2026-05-05-43,keirin,岐阜競輪場,岐阜県,10:30,16:30,,2026-05-05,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,岐阜競輪場の公式発表もあわせて確認してください。
keirin-2026-05-05-27,keirin,京王閣競輪場,東京都,10:30,16:30,,2026-05-05,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,京王閣競輪場の公式発表もあわせて確認してください。
keirin-2026-05-05-74,keirin,高知競輪場,高知県,15:00,21:00,,2026-05-05,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,高知競輪場の公式発表もあわせて確認してください。
keirin-2026-05-05-47,keirin,松阪競輪場,三重県,10:30,16:30,,2026-05-05,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F1 / 通常開催想定,松阪競輪場の公式発表もあわせて確認してください。
keirin-2026-05-05-12,keirin,青森競輪場,青森県,10:30,16:30,,2026-05-05,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,青森競輪場の公式発表もあわせて確認してください。
keirin-2026-05-05-35,keirin,平塚競輪場,神奈川県,10:30,16:30,,2026-05-05,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。G1 / 通常開催想定,平塚競輪場の公式発表もあわせて確認してください。
keirin-2026-05-05-21,keirin,弥彦競輪場,新潟県,15:00,21:00,,2026-05-05,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,弥彦競輪場の公式発表もあわせて確認してください。
keirin-2026-05-06-56,keirin,岸和田競輪場,大阪府,10:30,16:30,,2026-05-06,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F1 / 通常開催想定,岸和田競輪場の公式発表もあわせて確認してください。
keirin-2026-05-06-43,keirin,岐阜競輪場,岐阜県,10:30,16:30,,2026-05-06,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,岐阜競輪場の公式発表もあわせて確認してください。
keirin-2026-05-06-62,keirin,広島競輪場,広島県,10:30,16:30,,2026-05-06,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F1 / 通常開催想定,広島競輪場の公式発表もあわせて確認してください。
keirin-2026-05-06-74,keirin,高知競輪場,高知県,15:00,21:00,,2026-05-06,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,高知競輪場の公式発表もあわせて確認してください。
keirin-2026-05-06-47,keirin,松阪競輪場,三重県,10:30,16:30,,2026-05-06,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F1 / 通常開催想定,松阪競輪場の公式発表もあわせて確認してください。
keirin-2026-05-06-12,keirin,青森競輪場,青森県,10:30,16:30,,2026-05-06,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,青森競輪場の公式発表もあわせて確認してください。
keirin-2026-05-06-35,keirin,平塚競輪場,神奈川県,10:30,16:30,,2026-05-06,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。G1 / 通常開催想定,平塚競輪場の公式発表もあわせて確認してください。
keirin-2026-05-06-21,keirin,弥彦競輪場,新潟県,15:00,21:00,,2026-05-06,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,弥彦競輪場の公式発表もあわせて確認してください。
keirin-2026-05-07-43,keirin,岐阜競輪場,岐阜県,10:30,16:30,,2026-05-07,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,岐阜競輪場の公式発表もあわせて確認してください。
keirin-2026-05-07-87,keirin,熊本競輪場,熊本県,10:30,16:30,,2026-05-07,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F1 / 通常開催想定,熊本競輪場の公式発表もあわせて確認してください。
keirin-2026-05-07-62,keirin,広島競輪場,広島県,10:30,16:30,,2026-05-07,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F1 / 通常開催想定,広島競輪場の公式発表もあわせて確認してください。
keirin-2026-05-07-53,keirin,奈良競輪場,奈良県,15:00,21:00,,2026-05-07,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,奈良競輪場の公式発表もあわせて確認してください。
keirin-2026-05-07-11,keirin,函館競輪場,北海道,10:30,16:30,,2026-05-07,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,函館競輪場の公式発表もあわせて確認してください。
keirin-2026-05-07-86,keirin,別府競輪場,大分県,15:00,21:00,,2026-05-07,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,別府競輪場の公式発表もあわせて確認してください。
keirin-2026-05-08-24,keirin,宇都宮競輪場,栃木県,10:30,16:30,,2026-05-08,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,宇都宮競輪場の公式発表もあわせて確認してください。
